episode 509, steps 1001, avg_score : 22.59449949497357
episode 510, steps 1001, avg_score : 21.958999509178103
episode 511, steps 1001, avg_score : 22.839499489497392
episode 512, steps 1001, avg_score : 22.739499491732566
episode 513, steps 1001, avg_score : 22.144999505020678
episode 514, steps 1001, avg_score : 22.22149950331077
episode 515, steps 1001, avg_score : 21.913499510195106
episode 516, steps 1001, avg_score : 21.974999508820474
episode 517, steps 1001, avg_score : 22.32699950095266
episode 518, steps 1001, avg_score : 24.387499454896897
episode 519, steps 1001, avg_score : 24.99949944121763
episode 520, steps 1001, avg_score : 24.83949944479391
episode 521, steps 1001, avg_score : 24.398499454651027
episode 522, steps 1001, avg_score : 26.319999411702156
episode 523, steps 1001, avg_score : 24.957499442156404
episode 524, steps 1001, avg_score : 25.90749942092225
episode 525, steps 1001, avg_score : 24.438499453756958
episode 526, steps 1001, avg_score : 25.766499424073846
episode 527, steps 1001, avg_score : 24.981999441608785
episode 528, steps 1001, avg_score : 25.148999437876046
episode 529, steps 1001, avg_score : 26.49849940771237
episode 530, steps 1001, avg_score : 26.846999399922787
episode 531, steps 1001, avg_score : 25.347499433439225
episode 532, steps 1001, avg_score : 26.536499406863005
episode 533, steps 1001, avg_score : 26.598499405477195
episode 534, steps 1001, avg_score : 27.855499377381058
episode 535, steps 1001, avg_score : 27.539499384444206
episode 536, steps 1001, avg_score : 28.67299935910851
episode 537, steps 1001, avg_score : 26.579999405890703
episode 538, steps 1001, avg_score : 25.470499430689962
episode 539, steps 1001, avg_score : 25.78199942372739
episode 540, steps 1001, avg_score : 26.032999418117107
episode 541, steps 1001, avg_score : 25.929999420419335
episode 542, steps 1001, avg_score : 25.836999422498046
episode 543, steps 1001, avg_score : 25.821999422833322
episode 544, steps 1001, avg_score : 26.54099940676242
episode 545, steps 1001, avg_score : 27.032999395765366
episode 546, steps 1001, avg_score : 27.01949939606711
episode 547, steps 1001, avg_score : 26.346999411098658
episode 548, steps 1001, avg_score : 26.783499401342123
episode 549, steps 1001, avg_score : 27.556499384064228
episode 550, steps 1001, avg_score : 28.213499369379132
episode 551, steps 1001, avg_score : 26.96349939731881
episode 552, steps 1001, avg_score : 27.642499382141978
episode 553, steps 1001, avg_score : 27.27599939033389
